book_name,authors,publisher,pub_time,desc,score,people_num,price,img
导演创作完全手册（插图修订第4版）,[美] 迈克尔·拉毕格、Michael Rabiger  唐培林、后浪电影学院编辑部校订 ,四川人民出版社, 2019-4 ,全球畅销的导演必备手册、艺考必读书 从选择学校到打入电影节，导演创作全流程进阶大全 ◎ 编辑推荐 《导演创作完全手册》是一本态度务实的创作指南、百科全书。...,9.2,108, 128.00元,https://img9.doubanio.com/view/subject/s/public/s33878674.jpg
电影的口音 : 贾樟柯谈贾樟柯,[美] 白睿文 编 ,广西师范大学出版社, 2021-4-1 ,著名电影、文化学者戴锦华作序，贾樟柯诚挚推荐；贾樟柯20年电影人生全纪录，亲述从汾阳走向世界背后的动人故事；第一手访谈资料、10部重要电影作品、63幅珍贵照...,8.0,1021, 78.00,https://img1.doubanio.com/view/subject/s/public/s33882018.jpg
欧洲剪辑大师访谈录,[英] 罗杰·克里滕登、Roger Crittenden  成果 ,上海人民美术出版社, 2022-3 ,《教父》剪辑师、《眨眼之间》作者沃尔特·默奇作序力荐，金棕榈获奖导演肯·洛奇盛赞 《视与听》《美国剪辑师工会》等行业刊物专文推荐 近30位欧洲剪辑大师的创作...,8.8,60, 70.00元,https://img2.doubanio.com/view/subject/s/public/s34145413.jpg
蛤蟆的油,[日]黑泽明  李正伦 ,南海出版公司, 2014-8 ,日本民间流传着这样一个故事：在深山里，有一种特别的蛤蟆，它和同类相比，不仅外表更丑，而且还多长了几条腿。人们抓到它后，将其放在镜前或玻璃箱内，蛤蟆一看到自己...,8.6,5312, 39.50元,https://img2.doubanio.com/view/subject/s/public/s27325332.jpg
昨日之岛 : 戴锦华电影文章自选集,戴锦华 ,北京大学出版社, 2015-1 ,发现电影的魅力，呈现文化的症候，戴锦华文章精选结集，坦言学术和人生思考的心路历程。 本书包括十篇戴锦华本人精选的文章和一篇访谈，从中可以看到戴锦华教授多年来...,8.4,892, 56.00元,https://img2.doubanio.com/view/subject/s/public/s27967373.jpg
少年的镜子,张雍 ,中国电影出版社, 2023-6 ,电影评论集《少年的镜子》主要收录了张雍从2020年到2022年间发表的70篇电影评论文章，前35篇为中国电影评论，后35篇为外国电影评论。 在这七十篇电影评...,8.4,14, 45,https://img2.doubanio.com/view/subject/s/public/s34597282.jpg
拍电影时我在想的事,[日] 是枝裕和  褚方叶 ,南海出版公司, 2018-9 ,《拍电影时我在想的事》是戛纳电影节金棕榈奖得主是枝裕和历时8年，写下的首部自传性随笔集。 是枝裕和在书中回顾三十余年的创作生涯，讲述每一部经典作品背后的传奇...,8.9,7897, 88.00,https://img9.doubanio.com/view/subject/s/public/s34309174.jpg
我在好莱坞做了上百部电影 : 如何稳赚不赔,[美]罗杰·科尔曼、[美]吉姆·杰尔姆、Roger Corman、Jim Jerome  黄渊 ,民主与建设出版社, 2022-8 ,奥斯卡终身成就奖得主、B级片教父 “多快好省拍片王”之传奇生涯 我在好莱坞做了上百部电影，如何稳赚不赔 成为反抗大片厂的中坚力量 还带出了《阿凡达》导演卡梅...,8.1,67, 60元,https://img2.doubanio.com/view/subject/s/public/s34286623.jpg
救猫咪 : 电影编剧指南,[美] 布莱克·斯奈德  孟影 ,浙江文艺出版社, 2021-1 ,◆ 畅销好莱坞15年的编剧经典，常年位居亚马逊剧本写作图书榜榜首 ◆ 在圈内与《故事》《电影剧本写作基础》并称“编剧三宝”，并被中国、美国等多国院校影视专业...,8.0,2565, 49.8,https://img1.doubanio.com/view/subject/s/public/s33796280.jpg
三十年细说从头,李翰祥 ,北京联合出版公司, 2017-1 ,大导演李翰祥1948至1979两岸三地回忆录 一字未删，完整本内地首次出版！ 皇牌导演 亲笔撰书 谈古说今 回味无穷 影坛八卦 缠绵悱恻 江湖侠义 生动写实...,8.4,779, 118.00元（上下册）,https://img9.doubanio.com/view/subject/s/public/s29272016.jpg
