book_name,authors,publisher,pub_time,desc,score,people_num,price,img
反抗“平庸之恶” : 《责任与判断》中文修订版,[美] 汉娜·阿伦特  陈联营 ,上海人民出版社, 2014-4 ,没有人比阿伦特更了解：20世纪的道德大崩溃，不是由于人的无知或邪恶，未能辨别道德“真相”，而是由于道德“真相”不足以作为标准，评判人们当下可能做出的事情。道...,8.9,1519, 39.00元,https://img9.doubanio.com/view/subject/s/public/s27241106.jpg
存在主义心理治疗,[美] 欧文·亚隆  黄峥、张怡玲、沈东郁 ,商务印书馆, 2015-5 ,存在主义治疗是每一个心理治疗师在其临床工作和个人生活中都可能会采用到的一种精神取向，或者说是生活哲学。心理治疗的根本问题与人类存在的核心问题在这里相遇。 在...,9.5,5798, 79.00,https://img1.doubanio.com/view/subject/s/public/s28113560.jpg
西方哲学十五讲,张志伟 ,北京大学出版社, 2004-06 ,《西方哲学十五讲》系既注意知识的相对稳定性，重点突出，通俗易懂，又能适当接触学科前沿，弓l发跨学科的思考和学习的兴趣。 《西方哲学十五讲》系大都采用学术讲座...,8.7,3395, 29.50元,https://img2.doubanio.com/view/subject/s/public/s1315113.jpg
柏拉图全集 : 中短篇作品（上下）,[古希腊] 柏拉图  刘小枫 主编、刘小枫、李致远、刘振、叶然、等 ,华夏出版社, 2023-5 ,本版《柏拉图全集》由刘小枫教授主编，遵从西方学术界公认的忒拉绪洛斯体例，收录柏拉图所有传世作品，包括35篇对话、13封书信、释词1篇和托名作品7篇，分三卷出...,9.5,31, 349.00元,https://img9.doubanio.com/view/subject/s/public/s34550014.jpg
人类理智研究,休谟  吕大吉 ,商务印书馆, 1999-08 ,作者大卫·休谟（1711—1776），十八世纪英国著名启蒙思想家、哲学家、历史学家和文学家。本书提出了哲学史上的“休谟问题”，主要内容是经验主义的认识论，包...,9.1,497, 9.50元,https://img9.doubanio.com/view/subject/s/public/s1769936.jpg
怀疑论者的漫步,[法] 德尼·狄德罗  龚觅 译、王斯秧 译、罗芃 主编 ,上海译文出版社, 2023-10-31 ,* 狄德罗关于宗教、哲学和社会生活的思考 * 以人们实际如何生活而不是以“人们应该如何生活”为标准改塑哲学 * 迈向哲学的第一步，就是怀疑 《怀疑论者的漫步...,,10, 48.00,https://img2.doubanio.com/view/subject/s/public/s34665012.jpg
从自然时间到精神历史 : 黑格尔耶拿哲学体系规划研究,余玥 ,商务印书馆, 2022-10-1 ,本书主线为“从自然时间到精神历史”，属于对体系规划中“实在哲学”（即自然哲学和精神哲学）部分的研究。本书由三部分组成：第一部分呈现黑格尔在时间问题上与诸家的...,9.8,45, 68.00,https://img9.doubanio.com/view/subject/s/public/s34351886.jpg
神话哲学之哲学导论 : 纯粹唯理论哲学述要,[德]谢林、[德国] 弗里德里希·威廉·约瑟夫·冯·谢林  先刚 ,北京大学出版社, 2023-8-15 ,谢林继在《神话哲学之历史批判导论》里探讨人类原初意识在神话里的表现之后，在《神话哲学之哲学导论》里进一步阐发这个意识在哲学里表现出的本原学说传统，尤其详细阐...,,10, 108.00,https://img1.doubanio.com/view/subject/s/public/s34607380.jpg
查拉图斯特拉如是说,[德] 尼采  钱春绮 ,生活·读书·新知三联书店, 2007-12 ,《查拉图斯特拉如是说》是尼采假借查拉图斯特拉之名说出他自己的哲学思想，也可以说是一本查拉图斯特拉的说教集或者说是查拉图斯特拉的行藏录，又有点像圣者传一类的书...,8.9,11377, 27.00元,https://img9.doubanio.com/view/subject/s/public/s2857294.jpg
西方哲学史（上下册）,[英] 伯特兰·罗素  何兆武、李约瑟、马元德 ,商务印书馆, 2020-6 ,○本书是英国哲学家罗素根据其在美国讲学时的讲稿整理而成的一部著作，也是罗素重要代表作之一。 ○本书的特点在于，它是在哲学与社会生活的相互作用和密切联系中讲述...,9.0,271, 148.00元,https://img2.doubanio.com/view/subject/s/public/s33696501.jpg
规训与惩罚 : 监狱的诞生,[法] 米歇尔·福柯  刘北成、杨远婴 ,生活·读书·新知三联书店, 2019-10 ,本书旨在论述关于现代灵魂与一种新的审判权力之间相互关系的历史，论述现行的科学—法律综合体的系谱。在这种综合体中，惩罚权力获得了自身的基础、证明和规则，扩大了...,9.5,3207, 48.00元,https://img1.doubanio.com/view/subject/s/public/s33491948.jpg
意识形态的崇高客体,[斯洛文尼亚] 斯拉沃热·齐泽克  季广茂 ,中央编译出版社, 2017-7-1 ,《意识形态的崇高客体(第二版)》介绍从泰坦尼克号的沉没到希区柯克的影片，从瓦格纳的歌剧到海因莱因的科幻，从拉康到福柯，从黑格尔到马克思，从重大政治事件到犹太...,9.2,1183, 70.00元,https://img9.doubanio.com/view/subject/s/public/s29624444.jpg
西方哲学史讲义,周国平 ,深圳出版社, 2023-11 ,从这本书开启哲学史的阅读！周国平“西方哲学之旅”开讲之作 本书主要讲述西方哲学的产生与转变。从距今两千五百多年的古希腊哲学出现，到一百多年前尼采预见现代人的...,,29, 249,https://img9.doubanio.com/view/subject/s/public/s34692275.jpg
社会契约论,[法] 卢梭  何兆武 ,商务印书馆, 2003-2-1 ,本书是十八世纪法国启蒙思想家、法国大革命的思想先驱卢梭（1712—1778）的一部政治哲学著作。它探讨的是政治权利的原理，它的主旨是为人民民主主权的建立奠定...,8.9,19164, 18.00元,https://img2.doubanio.com/view/subject/s/public/s34589603.jpg
